,Topic Divergence,Avg Compat Ratio,Burst Length
245.0,1.0,0.51,6.0
246.0,1.0,0.51,5.0
247.0,1.0,0.51,6.0
248.0,-1.0,0.5,7.0
249.0,-1.0,0.5,3.0
250.0,-1.0,0.5,7.0
251.0,-1.0,0.5,10.0
252.0,-1.0,0.5,6.0
253.0,-1.0,0.5,4.0
254.0,-1.0,0.5,9.0
255.0,-1.0,0.5,9.0
256.0,-1.0,0.5,10.0
257.0,-1.0,0.5,7.0
258.0,-1.0,0.5,10.0
259.0,-1.0,0.5,9.0
260.0,-1.0,0.5,11.0
261.0,-1.0,0.5,5.0
262.0,-1.0,0.5,10.0
263.0,-1.0,0.5,6.0
264.0,-1.0,0.5,6.0
265.0,-1.0,0.5,10.0
266.0,-1.0,0.5,5.0
267.0,-1.0,0.5,10.0
268.0,-1.0,0.5,7.0
269.0,-1.0,0.5,10.0
270.0,-1.0,0.5,9.0
271.0,-1.0,0.5,8.0
272.0,-1.0,0.5,11.0
273.0,-1.0,0.5,10.0
274.0,-1.0,0.5,4.0
275.0,-1.0,0.5,10.0
276.0,1.0,0.51,11.0
277.0,1.0,0.51,4.0
278.0,1.0,0.51,4.0
279.0,1.0,0.51,8.0
280.0,1.0,0.51,9.0
281.0,-1.0,0.5,9.0
282.0,1.0,0.51,5.0
283.0,1.0,0.51,6.0
284.0,1.0,0.51,13.0
285.0,-1.0,0.5,8.0
286.0,1.0,0.51,6.0
287.0,1.0,0.51,9.0
288.0,1.0,0.51,6.0
289.0,-1.0,0.5,10.0
290.0,-1.0,0.5,4.0
291.0,-1.0,0.5,7.0
292.0,-1.0,0.5,7.0
293.0,1.0,0.51,8.0
294.0,1.0,0.51,7.0
295.0,1.0,0.51,6.0
296.0,-1.0,0.5,8.0
297.0,-1.0,0.5,7.0
298.0,-1.0,0.5,6.0
299.0,-1.0,0.5,8.0
300.0,-1.0,0.5,7.0
